id_producto,nombre,precio
1,Toy Apparatus,13.99
2,Makeup Gadget,136.95
3,Kids Rig,13
4,Medicine Gizmo,70.95
5,Baby Thingamajig,159.95
6,Nutrition Apparatus,63
7,Jewelry Paraphernalia,85
8,Womens Implement,196.95
9,Cleaning Widget,25.95
10,Music Contraption,77.99
11,Nutrition Apparatus,129
12,Mens Item,92.99
13,Baby Tool,42
14,Vitamin Gadget,68.99
15,Skin Care Paraphernalia,144.99
16,Bath Apparatus,172
17,Tire Accessory,187.99
18,Car Item,61
19,Nutrition Attachment,40.95
20,Phone Attachment,37
21,Car Attachment,117
22,Fitness Component,148.95
23,Party Gizmo,87.99
24,Cleaning Component,71.99
25,Cat Thingamajig,175.95
26,Bedding Widget,167.99
27,Cat Mechanism,135.99
28,Kids Attachment,57.99
29,Bedding Machine,53.95
30,Aquarium Accessory,173
31,Personal Tool,93
32,Hair Care Gizmo,165
33,Hair Care Accessory,129.99
34,Baby Equipment,77
35,Gardening Gear,129.99
36,Game Equipment,157
37,Womens Paraphernalia,61.95
38,Jewelry Accessory,148.95
39,Fitness Mechanism,145
40,Medicine Doodad,25.99
41,Skin Care Whatchamacallit,66.95
42,Camping Equipment,52
43,Mens Component,81.99
44,Fitness Whatchamacallit,171
45,Game Gizmo,82.99
46,Hair Care Component,53
47,Cooking Item,192.95
48,Camera Thingamajig,191.95
49,Cat Whatchamacallit,16.95
50,Truck Whatchamacallit,11.99
51,Cleaning Doodad,158
52,Engine Mechanism,190
53,Bedding Mechanism,106.95
54,Personal Gizmo,158.99
55,Engine Machine,186.99
56,Technology Rig,170
57,Game Item,108.99
58,Gardening Whatchamacallit,25
59,Baby Instrument,14.95
60,Mens Whatchamacallit,37.99
61,Truck Kit,140.99
62,Biking Tool,196
63,Mens Instrument,198.95
64,Kids Item,19.99
65,Bath Doodad,76
66,Furniture Gear,170.99
67,Sports Apparatus,36.99
68,Nutrition Rig,196.99
69,Engine Thingamajig,30
70,Camera Tool,88.95
71,Home Improvement Equipment,112.95
72,Toy Widget,34.95
73,Furniture Kit,92.99
74,Toy Widget,81
75,Medicine Mechanism,121.95
76,Camping Thingamajig,142
77,Bedding Doodad,60.99
78,Sports Attachment,194.99
79,Hair Care Accessory,157.95
80,Camping Rig,101
81,Bedding Apparatus,49.95
82,Sports Widget,124.95
83,Furniture Mechanism,86.95
84,Cooking Thingamajig,33.95
85,Movie Kit,60.95
86,Book Kit,123
87,Phone Accessory,132.95
88,Jewelry Device,135
89,Tire Whatchamacallit,55.95
90,First Aid Rig,90
91,Medicine Gadget,68.99
92,Beach Contraption,132
93,Hair Care Gizmo,123.95
94,Truck Mechanism,123.99
95,Medicine Contraption,181.99
96,Technology Rig,166
97,Baby Kit,84.95
98,Skin Care Instrument,148.95
99,Truck Whatchamacallit,53.95
100,Cat Thingamajig,26.95
101,First Aid Machine,56.99
102,Baby Equipment,98.95
103,Nutrition Gear,120.95
104,Music Supplies,74.95
105,Home Improvement Item,117
106,Toy Doodad,77
107,Toy Machine,51.95
108,Movie Instrument,148
109,Bedding Paraphernalia,195.95
110,Nutrition Whatchamacallit,167.99
111,Personal Whatchamacallit,76.95
112,Music Supplies,123.99
113,Truck Gadget,156.99
114,Swimming Implement,186.95
115,Tire Accessory,192.99
116,Fitness Paraphernalia,103.95
117,Sports Paraphernalia,128.95
118,Fitness Instrument,14.95
119,Biking Whatchamacallit,103
120,Medicine Attachment,49.95
121,Sports Equipment,89.95
122,Furniture Widget,187.95
123,Outdoors Whatchamacallit,173.95
124,Phone Contraption,171.95
125,Medicine Instrument,90.99
126,Storage Supplies,137.99
127,Engine Gear,84
128,Outdoors Gadget,140
129,Home Improvement Widget,21.95
130,Bath Rig,182.95
131,Personal Device,160.99
132,Cooking Item,40
133,Dining Accessory,103.99
134,Sports Mechanism,73.95
135,Womens Rig,17.99
136,Mens Rig,64.99
137,Beach Implement,123.99
138,Womens Machine,45.95
139,Engine Tool,188.99
140,Engine Tool,112
141,Vitamin Gadget,135
142,Toy Component,88
143,Biking Thingamajig,34
144,Jewelry Attachment,169.99
145,Kitchen Tool,158
146,Kitchen Contraption,109
147,Game Doodad,68.95
148,Storage Accessory,96.99
149,Fitness Rig,117.99
150,Cleaning Gadget,158.95
151,Computer Thingamajig,15.95
152,Dog Gizmo,82.95
153,Kitchen Widget,184.95
154,Beach Mechanism,90
155,Camping Apparatus,68
156,Dog Paraphernalia,100.95
157,Personal Mechanism,143
158,Engine Instrument,55.99
159,Home Improvement Rig,28
160,Womens Implement,73.95
161,Home Improvement Thingamajig,44.95
162,Truck Item,184
163,Kids Attachment,62
164,Movie Supplies,30
165,Biking Gizmo,101.99
166,Biking Machine,16.95
